Jake Kumerow,6,7,4,64,0
Marcus Johnson,10,16,6,63,0
James Proche II,11,12,8,62,0
Trent Taylor,13,10,6,62,0
Jamison Crowder,4,13,6,60,0
Mike Strachan,10,8,3,59,0
Dee Eskridge,10,13,7,58,0
Byron Pringle,7,7,5,57,1
Jeff Smith,10,6,4,57,0
Cody Hollister,11,5,3,54,0
Steven Sims,8,16,9,53,0
Kenny Golladay,8,10,4,51,0
Anthony Schwartz,11,10,4,51,0
Gunner Olszewski,12,6,4,50,0
Jameson Williams,2,3,1,41,1
Mike Thomas,10,10,2,38,0
Dax Milne,11,7,6,37,1
Andre Baccellia,6,7,5,32,0
Tim Jones,13,4,3,30,0
Jalen Nailor,11,4,2,28,0
Tyrie Cleveland,6,7,2,28,0
Chris Conley,5,4,1,27,0
Jaelon Darden,12,2,2,26,0
Velus Jones Jr.,8,5,3,24,1
Simi Fehoko,5,4,3,24,0
Dezmon Patmon,1,6,2,24,0
Andy Isabella,3,5,2,21,0
Tylan Wallace,8,6,3,21,0
Michael Woods II,7,5,2,21,0
Keke Coutee,6,1,1,20,0
Lil'Jordan Humphrey,6,4,2,20,0
Penny Hart,8,2,2,18,0
Keith Kirkwood,2,2,2,18,0
Cole Beasley,2,5,4,17,0
Juwann Winfree,3,4,1,17,0
Braylon Sanders,1,2,2,17,0
Dennis Houston,2,6,2,16,0
Ty Montgomery,1,4,3,15,1
Bryan Edwards,7,5,3,15,0
Quintez Cephus,4,3,2,15,0
Ihmir Smith-Marsette,7,4,1,15,0
Deonte Harty,4,2,2,13,0
Austin Trammell,2,4,2,13,0
Jalen Tolbert,8,3,2,12,0
Brandon Johnson,4,10,3,12,1
Miles Boykin,12,2,1,11,0
Danny Gray,10,7,1,10,0
KaVontae Turpin,13,2,1,9,0
Tyron Johnson,4,1,1,8,0
Maurice Alexander,4,1,1,7,0
Jalen Camp,2,1,1,7,0
C.J. Board,4,1,1,6,0
Jacob Harris,7,1,1,6,0
Jason Moore Jr.,6,2,1,5,0
Mason Kinsey,1,1,1,3,0
Montrell Washington,13,9,4,2,0
